id,airport_ref,airport_ident,length_ft,width_ft,surface
255155,6524,00AK,2500,70,Gravel
270932,6526,00AR,40,40,Grass
257681,6527,00AZ,1700,60,Gravel
265041,6544,00LL,25,25,Concrete
269410,6556,00OI,42,42,Concrete
269414,6566,00TX,50,50,Concrete
265043,6577,01AK,40,40,Concrete
265044,6579,01AR,55,55,Concrete
265050,6588,01FD,110,110,Concrete
265051,6590,01GA,65,65,Concrete
265054,6600,01KY,40,40,Concrete
257883,6605,01MD,3500,100,Water
256660,6606,01ME,5000,500,Water
256661,6606,01ME,5000,500,Water
265056,6607,01MI,50,50,Concrete
249395,6608,01MN,10000,600,Water
249396,6608,01MN,10000,600,Water
269415,6609,01MO,37,37,Concrete
250998,6615,01NV,2000,60,Gravel
269421,6624,01TA,30,30,Concrete
269422,6632,01WA,36,36,Concrete
270898,46288,01XA,50,50,Concrete
269424,6636,01XS,50,50,Concrete
253115,6637,02AK,2200,45,Gravel
255048,6644,02CO,2670,50,Gravel
265059,6650,02HI,100,100,Concrete
265060,6651,02IA,50,50,Concrete
265062,6657,02KY,100,100,Concrete
265063,6658,02LA,20,20,Concrete
265064,6659,02LS,24,24,Concrete
247920,6669,02NH,3000,300,Water
269430,6684,02TA,32,32,Concrete
269431,6685,02TE,40,40,Concrete
248735,6696,03AK,6000,500,Water
248734,6696,03AK,2600,500,Water
265066,6697,03AL,50,50,Concrete
265067,6698,03AR,117,117,Concrete
265068,6700,03CA,40,40,Concrete
265069,6704,03FL,50,40,Concrete
265070,6711,03IS,40,40,Concrete
265071,6712,03KS,25,25,Gravel
265073,6715,03LS,40,40,Concrete
258174,6716,03M,3800,200,Water
265074,6718,03MD,50,50,Concrete
265076,6723,03MS,60,60,Concrete
247862,4650,03N,2400,50,Gravel
269433,6734,03OI,60,60,Concrete
250205,6736,03OR,2950,60,Concrete
269436,6741,03SC,40,40,Concrete
256580,6747,03UT,5000,35,Gravel
256581,6747,03UT,3250,35,Gravel
252650,6749,03WA,2800,60,Gravel
257028,6751,03WN,2000,70,Gravel
328589,6759,04F,2400,20,Asphalt
264167,45410,04IN,4000,1000,Water
265081,6770,04LA,40,40,Concrete
264637,45733,04OG,50,100,Concrete
269441,6787,04OK,45,45,Concrete
269442,6789,04PA,100,100,Concrete
269443,6790,04PN,70,70,Concrete
269444,6791,04SC,50,50,Concrete
325774,325773,04SD,46,46,Concrete
269445,6792,04TA,60,40,Concrete
342439,342438,04TT,4645,55,Asphalt
269448,6799,04VA,50,50,Concrete
269449,6805,04WV,40,40,Concrete
265090,6809,05AZ,40,40,Concrete
251991,6810,05B,4000,200,Water
265096,6835,05MS,40,40,Concrete
269452,6836,05NC,40,40,Concrete
269454,6839,05NJ,60,60,Concrete
269459,6856,05VT,80,80,Concrete
269460,6857,05WA,40,40,Concrete
264063,45272,06AK,2000,40,Gravel
265104,6863,06AZ,80,80,Concrete
257162,6864,06B,15000,4000,Water
265105,6865,06CA,20,20,Concrete
265106,6866,06CL,46,46,Concrete
247546,6872,06I,16000,3500,Water
265110,6879,06KY,60,60,Concrete
265111,6880,06LA,39,39,Concrete
265112,6881,06LL,40,40,Concrete
265113,6882,06LS,40,40,Concrete
265115,6884,06MD,60,60,Concrete
265117,6885,06MI,45,45,Concrete
269461,6892,06NE,130,95,Concrete
269462,6896,06O1,40,40,Concrete
253145,6900,06OR,1000,80,Gravel
264638,45764,06PN,15,15,Concrete
254861,6905,06TA,1900,15,Gravel
265119,6919,07CA,40,40,Concrete
269466,6928,07I,15000,4000,Water
265121,6930,07II,60,60,Concrete
265122,6935,07LA,30,15,Concrete
265123,6936,07LS,50,50,Concrete
251305,6946,07NH,2500,200,Water
251306,6946,07NH,2500,200,Water
269469,6949,07OH,30,30,Concrete
269472,6960,07WA,53,53,Concrete
341554,341553,07XA,37,37,Concrete
269473,6962,07XS,30,30,Concrete
264053,45248,08AK,1200,80,Gravel
332753,332752,08AL,4000,200,Water
265126,6964,08AR,50,50,Concrete
265127,6965,08AZ,42,42,Concrete
264245,45316,08CN,50,50,Concrete
247428,6970,08CT,4700,1400,Water
247959,6977,08ID,2500,60,Gravel
265129,6978,08II,30,30,Concrete
264168,45416,08IN,5000,1600,Water
249801,6981,08KS,2700,99,Gravel
255433,6990,08MN,11088,6000,Water
269475,6998,08NH,80,80,Concrete
255790,7003,08OR,2800,20,Gravel
269480,7013,08WA,100,100,Concrete
269481,45317,09CN,50,50,Concrete
253584,7025,09I,5000,1000,Water
253585,7025,09I,5000,1000,Water
265135,7029,09IL,40,40,Concrete
265136,7031,09IS,39,31,Concrete
265137,7033,09KY,50,50,Concrete
265138,7034,09LA,50,50,Concrete
265139,7036,09LS,40,40,Concrete
265140,7039,09MI,40,40,Concrete
324845,324843,09NR,24,24,Concrete
324846,324843,09NR,24,24,Concrete
269485,7053,09TN,80,80,Concrete
269486,7057,09VG,96,60,Concrete
269487,7059,09WA,60,60,Concrete
269488,7061,09XS,90,90,Concrete
256247,7062,09Y,8000,500,Water
255835,7065,0AK1,3000,2000,Water
255836,7065,0AK1,2200,50,Gravel
252197,7069,0AK7,2400,75,Gravel
325125,7070,0AK8,150,150,Gravel
253648,7071,0AK9,2000,30,Gravel
265143,7074,0AL2,24,21,Concrete
265144,7075,0AL3,24,24,Concrete
265145,7076,0AL4,30,30,Concrete
265147,7079,0AL7,30,30,Concrete
265151,7087,0AR5,42,42,Concrete
265152,7088,0AR6,20,20,Concrete
265153,7090,0AR8,30,30,Concrete
240292,7094,0AZ2,1500,100,Gravel
265156,7097,0AZ6,40,45,Concrete
265157,7097,0AZ6,40,45,Concrete
265158,7097,0AZ6,40,45,Concrete
265159,7098,0AZ7,50,50,Concrete
265160,7107,0CA0,86,86,Concrete
312186,7108,0CA1,2482,30,Asphalt
265161,7109,0CA2,45,45,Concrete
265162,7114,0CA7,85,85,Concrete
265163,7117,0CD0,50,50,Concrete
257141,7122,0CD5,4500,70,Gravel
265166,7123,0CD6,40,40,Concrete
265168,7126,0CD9,50,50,Concrete
265169,7129,0CL2,113,55,Concrete
265170,7131,0CL4,50,50,Concrete
265171,7132,0CL5,58,58,Concrete
265172,7134,0CL7,65,65,Concrete
269489,7135,0CL8,80,80,Sand
265173,7136,0CL9,20,20,Concrete
265175,7141,0CO4,120,108,Concrete
265177,7147,0CT0,36,36,Concrete
265180,7150,0CT3,60,60,Concrete
265181,7152,0CT5,50,50,Concrete
265183,7154,0CT7,66,48,Concrete
265185,7156,0CT9,60,75,Concrete
248013,7159,0.00E+00,3000,100,Water
269490,45349,0FA2,50,50,Concrete
265188,7164,0FD2,48,48,Concrete
253769,7168,0FD6,3000,100,Water
255519,7172,0FL2,2000,100,Water
265189,7173,0FL3,60,60,Concrete
265190,7174,0FL4,100,100,Concrete
257071,7175,0FL5,2000,100,Water
265191,7177,0FL7,35,35,Concrete
254656,7178,0FL8,2000,100,Water
258129,7181,0G5,3000,2000,Water
258130,7181,0G5,15000,1500,Water
265193,7201,0IA0,65,65,Concrete
265195,7203,0IA2,60,50,Concrete
265196,7208,0IA7,145,145,Concrete
265197,7208,0IA7,45,40,Concrete
265199,7217,0ID6,40,40,Concrete
