animal,year,value
"LIVE HORSES, ASSES, MULES AND HINNIES",2011,101.91
"LIVE HORSES, ASSES, MULES AND HINNIES",2012,170.26
"LIVE HORSES, ASSES, MULES AND HINNIES",2013,209.26
"LIVE HORSES, ASSES, MULES AND HINNIES",2014,174.78
"LIVE HORSES, ASSES, MULES AND HINNIES",2015,308.85
"LIVE HORSES, ASSES, MULES AND HINNIES",2016,167.5
"LIVE HORSES, ASSES, MULES AND HINNIES",2017,463.08
"LIVE HORSES, ASSES, MULES AND HINNIES",2018,177.4
"LIVE HORSES, ASSES, MULES AND HINNIES",2019,479.7
"LIVE HORSES, ASSES, MULES AND HINNIES",2020,52.98
