era,year,name,number
1990,1992,Seo Taiji and Boys,3
1990,1993,Deux,2
1990,1994,Cool,5
1990,1994,DJ DOC,4
1990,1994,Roo'ra,6
1990,1994,Two Two,4
1990,1995,R.ef,3
1990,1995,Turbo,3
1990,1996,Goofy,5
1990,1996,H.O.T.,5
1990,1996,Uptown,8
1990,1996,YTC,8
1990,1997,Baby V.O.X.,9
1990,1997,Diva,4
1990,1997,Eve,10
1990,1997,Jaurim,4
1990,1997,Jinusean,2
1990,1997,No Brain,5
1990,1997,NRG,5
1990,1997,Sechs Kies,6
1990,1997,S.E.S.,3
1990,1997,YB,5
1990,1998,1TYM,4
1990,1998,4Men,6
1990,1998,Fin.K.L,4
1990,1998,Koyote,7
1990,1998,Pia,5
1990,1998,S#arp,7
1990,1998,Shinhwa,6
1990,1999,As One,2
1990,1999,Cleo,5
1990,1999,Click-B,7
1990,1999,Drunken Tiger,5
1990,1999,Fly to the Sky,2
1990,1999,g.o.d,5
1990,1999,T.T.MA,7
2000,2000,CB Mass,3
2000,2000,Chakra,5
2000,2000,Papaya,5
2000,2000,UN,2
2000,2001,5tion,17
2000,2001,Clazziquai Project,3
2000,2001,Epik High,3
2000,2001,Jewelry,10
2000,2001,jtL,3
2000,2001,K'Pop,5
2000,2001,KISS,3
2000,2001,M.I.L.K,4
2000,2001,The Jadu,3
2000,2002,Black Beat,5
2000,2002,F-iV,4
2000,2002,Isak N Jiyeon,2
2000,2002,Leessang,2
2000,2002,LUV,3
2000,2002,MC the Max,4
2000,2002,Noel,4
2000,2002,Shinvi,3
2000,2002,Sugar,5
2000,2003,Big Mama,4
2000,2003,Brown Eyed Soul,4
2000,2003,Buzz,7
2000,2003,Dynamic Duo,2
2000,2003,Take,5
2000,2003,TVXQ,5
2000,2004,SG Wannabe,4
2000,2004,TRAX,5
2000,2004,V.O.S,3
2000,2005,Gavy NJ,7
2000,2005,LPG,19
2000,2005,Paran,5
2000,2005,SS501,5
2000,2005,Super Junior,13
2000,2005,The Grace,4
2000,2006,2NB,5
2000,2006,Big Bang,5
2000,2006,Brown Eyed Girls,4
2000,2006,DickPunks,4
2000,2006,Eluphant,2
2000,2006,SeeYa,4
2000,2006,Super Junior-K.R.Y.,3
2000,2006,Untouchable,2
2000,2007,8eight,3
2000,2007,Baby Vox Re.V,7
2000,2007,Black Pearl,5
2000,2007,F.T. Island,6
2000,2007,Girls' Generation,9
2000,2007,Kara,7
2000,2007,Sunny Hill,7
2000,2007,Super Junior-T,6
2000,2007,Supernova,6
2000,2007,T-max,5
2000,2007,Tritops,4
2000,2007,Wonder Girls,7
2000,2008,2AM,4
2000,2008,2PM,7
2000,2008,Davichi,2
2000,2008,Mighty Mouth,2
2000,2008,Miss $,4
2000,2008,Shinee,5
2000,2008,Super Junior-H,6
2000,2008,Super Junior-M,9
2000,2008,U-KISS,10
2000,2009,2NE1,4
2000,2009,4Minute,5
2000,2009,After School,11
2000,2009,Beast,6
2000,2009,CNBLUE,5
2000,2009,December,2
2000,2009,f(x),5
2000,2009,JQT,5
2000,2009,MBLAQ,5
2000,2009,Rainbow,7
2000,2009,Secret,4
2000,2009,SHU-I,5
2000,2009,T-ara,11
2000,2009,Urban Zakapa,9
2010,2010,Coed School,10
2010,2010,DMTN,7
2010,2010,F.Cuz,6
2010,2010,Girl's Day,7
2010,2010,GD & TOP,2
2010,2010,GP Basic,7
2010,2010,Homme,2
2010,2010,Infinite,7
2010,2010,JYJ,3
2010,2010,Led Apple,13
2010,2010,Miss A,4
2010,2010,Nine Muses,14
2010,2010,One Way,3
2010,2010,Orange Caramel,3
2010,2010,Rooftop Moonlight,2
2010,2010,Rhythm Power,3
2010,2010,Sistar,4
2010,2010,Standing Egg,3
2010,2010,Teen Top,6
2010,2010,Touch,6
2010,2010,The Boss,5
2010,2010,ZE:A,9
2010,2011,AA,6
2010,2011,Apeace,21
2010,2011,Apink,7
2010,2011,B1A4,5
2010,2011,Blady,13
2010,2011,Block B,7
2010,2011,Boyfriend,6
2010,2011,Brave Girls,10
2010,2011,C-REAL,5
2010,2011,Chocolat,5
2010,2011,Clover,3
2010,2011,Dal Shabet,6
2010,2011,F-ve Dolls,8
2010,2011,Geeks,2
