article,year,value
Coffee,1849,75723
Coffee,1850,73100
Coffee,1851,100509
Coffee,1852,84306
Coffee,1853,97490
Coffee,1854,109762
Coffee,1855,82804
Coffee,1856,120201
Coffee,1857,132819
Coffee,1858,99727
Coffee,1859,135036
Coffee,1860,188532
Coffee,1861,337433
Coffee,1862,467991
Coffee,1863,513257
Coffee,1864,657672
Coffee,1865,801908
"Cotton, Raw",1849,1775309
"Cotton, Raw",1850,2201178
"Cotton, Raw",1851,3474789
"Cotton, Raw",1852,3619989
"Cotton, Raw",1853,3629494
"Cotton, Raw",1854,2802150
"Cotton, Raw",1855,2428764
"Cotton, Raw",1856,3314951
"Cotton, Raw",1857,1437949
"Cotton, Raw",1858,4301768
"Cotton, Raw",1859,4094100
"Cotton, Raw",1860,5637624
"Cotton, Raw",1861,7342168
"Cotton, Raw",1862,10203470
"Cotton, Raw",1863,18779040
"Cotton, Raw",1864,35864795
"Cotton, Raw",1865,37573637
"Cotton Goods, including Twist and Yarn",1849,690584
"Cotton Goods, including Twist and Yarn",1850,742320
"Cotton Goods, including Twist and Yarn",1851,673549
"Cotton Goods, including Twist and Yarn",1852,819049
"Cotton Goods, including Twist and Yarn",1853,930877
"Cotton Goods, including Twist and Yarn",1854,769345
"Cotton Goods, including Twist and Yarn",1855,817103
"Cotton Goods, including Twist and Yarn",1856,779647
"Cotton Goods, including Twist and Yarn",1857,882241
"Cotton Goods, including Twist and Yarn",1858,809183
"Cotton Goods, including Twist and Yarn",1859,813604
"Cotton Goods, including Twist and Yarn",1860,763586
"Cotton Goods, including Twist and Yarn",1861,786557
"Cotton Goods, including Twist and Yarn",1862,748385
"Cotton Goods, including Twist and Yarn",1863,785437
"Cotton Goods, including Twist and Yarn",1864,1167577
"Cotton Goods, including Twist and Yarn",1865,1043960
Drugs,1849,17869
Drugs,1850,34395
Drugs,1851,19502
Drugs,1852,14329
Drugs,1853,30043
Drugs,1854,78574
Drugs,1855,78950
Drugs,1856,58808
Drugs,1857,90571
Drugs,1858,91482
Drugs,1859,64112
Drugs,1860,44838
Drugs,1861,45239
Drugs,1862,60426
Drugs,1863,83314
Drugs,1864,104505
Drugs,1865,101043
Dyes-Indigo,1849,2093474
Dyes-Indigo,1850,1838474
Dyes-Indigo,1851,1980896
Dyes-Indigo,1852,2025313
Dyes-Indigo,1853,1809685
Dyes-Indigo,1854,2067769
Dyes-Indigo,1855,1701825
Dyes-Indigo,1856,2424332
Dyes-Indigo,1857,1937907
Dyes-Indigo,1858,1734339
Dyes-Indigo,1859,2118016
Dyes-Indigo,1860,2021288
Dyes-Indigo,1861,1886525
Dyes-Indigo,1862,1647503
Dyes-Indigo,1863,2126870
Dyes-Indigo,1864,1756158
Dyes-Indigo,1865,1860141
Dyes-Other Kind,1849,46584
Dyes-Other Kind,1850,68891
Dyes-Other Kind,1851,102431
Dyes-Other Kind,1852,98919
Dyes-Other Kind,1853,100559
Dyes-Other Kind,1854,113518
Dyes-Other Kind,1855,115427
Dyes-Other Kind,1856,58901
Dyes-Other Kind,1857,87151
Dyes-Other Kind,1858,123123
Dyes-Other Kind,1859,121279
Dyes-Other Kind,1860,114485
Dyes-Other Kind,1861,203042
Dyes-Other Kind,1862,112911
Dyes-Other Kind,1863,80287
Dyes-Other Kind,1864,93788
Dyes-Other Kind,1865,80354
Rice,1849,0
Rice,1850,0
Rice,1851,0
Rice,1852,0
Rice,1853,0
Rice,1854,1261503
Rice,1855,1562318
Rice,1856,2598070
Rice,1857,2301182
Rice,1858,3449172
Rice,1859,2433145
