movie,type,word,count
Reservoir Dogs,word,d**k,13
Reservoir Dogs,word,d**ks,3
Reservoir Dogs,word,f**k*d,6
Reservoir Dogs,word,f**king,180
Reservoir Dogs,word,b*lls**t,9
Reservoir Dogs,word,f**k,68
Reservoir Dogs,word,s**t,45
Reservoir Dogs,word,motherf**ker,12
Reservoir Dogs,word,pu**y,4
Reservoir Dogs,word,f**ks,2
Reservoir Dogs,word,hell,12
Reservoir Dogs,word,j**,1
Reservoir Dogs,word,ba*t**d,5
Reservoir Dogs,word,goddamn,10
Reservoir Dogs,word,motherf**kers,1
Reservoir Dogs,word,a**h*le,6
Reservoir Dogs,word,a**,13
Reservoir Dogs,word,a**h*le*,3
Reservoir Dogs,word,*-word,5
Reservoir Dogs,word,a**es,1
Reservoir Dogs,word,b*tc*,12
Reservoir Dogs,word,f**kup,1
Reservoir Dogs,word,f**ker,1
Reservoir Dogs,word,s**tty,1
Reservoir Dogs,word,a**head,1
Reservoir Dogs,word,damn,1
Reservoir Dogs,word,damned,1
Reservoir Dogs,word,b*tc*es,1
Reservoir Dogs,word,w**b**k,1
Reservoir Dogs,word,fa**ot,1
Reservoir Dogs,word,c**ks**ker,1
Pulp Fiction,word,s**t,76
Pulp Fiction,word,f**king,133
Pulp Fiction,word,f**k,74
Pulp Fiction,word,g**k,1
Pulp Fiction,word,f**ker*,1
Pulp Fiction,word,g**k*,2
Pulp Fiction,word,w**b**k,1
Pulp Fiction,word,motherf**king,9
Pulp Fiction,word,goddamn,28
Pulp Fiction,word,*-word,21
Pulp Fiction,word,f**ked,13
Pulp Fiction,word,a**,31
Pulp Fiction,word,damn,6
Pulp Fiction,word,pu**y,1
Pulp Fiction,word,b*tc*,15
Pulp Fiction,word,motherf**er,26
Pulp Fiction,word,motherf**ker*,7
Pulp Fiction,word,a**e*,3
Pulp Fiction,word,a**h*le,3
Pulp Fiction,word,f**ker*,3
Pulp Fiction,word,d**kle*s,1
Pulp Fiction,word,chickens**t,1
Pulp Fiction,word,hell,5
Pulp Fiction,word,bulls**t,1
Pulp Fiction,word,a**h*le*,1
Pulp Fiction,word,damned,2
Pulp Fiction,word,slope,1
Pulp Fiction,word,f**ked,1
Pulp Fiction,word,m**de,1
Pulp Fiction,word,d**k*,1
Kill Bill: Vol. 1,word,b*tc*,7
Kill Bill: Vol. 1,word,a**,3
Kill Bill: Vol. 1,word,damn,2
Kill Bill: Vol. 1,word,s**t,8
Kill Bill: Vol. 1,word,f**ked,2
Kill Bill: Vol. 1,word,goddamn,7
Kill Bill: Vol. 1,word,f**king,5
Kill Bill: Vol. 1,word,f**k,5
Kill Bill: Vol. 1,word,motherf**king,2
Kill Bill: Vol. 1,word,hell,3
Kill Bill: Vol. 1,word,c**ks**ker,1
Kill Bill: Vol. 1,word,s**thead,1
Kill Bill: Vol. 1,word,c**t,1
Kill Bill: Vol. 1,word,bulls**t,1
Kill Bill: Vol. 1,word,pu**y,1
Kill Bill: Vol. 1,word,f**ker,2
Kill Bill: Vol. 1,word,c**ts,1
Kill Bill: Vol. 1,word,d**ks,1
Kill Bill: Vol. 1,word,ba*t**d,2
Kill Bill: Vol. 1,word,f**kface,1
Kill Bill: Vol. 1,word,b**c*es,1
Kill Bill: Vol. 2,word,hell,1
Kill Bill: Vol. 2,word,b**c*,6
Kill Bill: Vol. 2,word,a**,7
Kill Bill: Vol. 2,word,c**kblockery,1
Kill Bill: Vol. 2,word,goddamn,5
Kill Bill: Vol. 2,word,damn,2
Kill Bill: Vol. 2,word,j****,2
Kill Bill: Vol. 2,word,j**,1
Kill Bill: Vol. 2,word,f**king,19
Kill Bill: Vol. 2,word,a**hole,1
Kill Bill: Vol. 2,word,s**t,6
Kill Bill: Vol. 2,word,s**tty,1
Kill Bill: Vol. 2,word,pu**y,4
Kill Bill: Vol. 2,word,ba*t**d*,1
Kill Bill: Vol. 2,word,f**ker,1
Kill Bill: Vol. 2,word,f**ked,1
Kill Bill: Vol. 2,word,horses**t,1
Kill Bill: Vol. 2,word,f**k,3
Kill Bill: Vol. 2,word,bulls**t,1
Kill Bill: Vol. 2,word,s**tless,1
Kill Bill: Vol. 2,word,a**h*le*,1
Kill Bill: Vol. 2,word,ba*t**d,2
Kill Bill: Vol. 2,word,c**t,1
Inglorious Basterds,word,hell,4
Inglorious Basterds,word,goddamn,8
Inglorious Basterds,word,f**king,9
Inglorious Basterds,word,b**c*,1
Inglorious Basterds,word,a**,6
Inglorious Basterds,word,f**k,11
Inglorious Basterds,word,s**tting,1
Inglorious Basterds,word,damn,4
Inglorious Basterds,word,*****,5
Inglorious Basterds,word,s**t,3
Inglorious Basterds,word,s**aw,1
Inglorious Basterds,word,s**t,1
Inglorious Basterds,word,f**ker,1
Inglorious Basterds,word,s**thead,2
Inglorious Basterds,word,b**c*es,1
Django Unchained,word,goddamn,28
Django Unchained,word,b**c*,10
Django Unchained,word,damn,13
Django Unchained,word,f**king,15
Django Unchained,word,******,114
Django Unchained,word,hell,10
Django Unchained,word,a**,28
Django Unchained,word,b**c*es,5
Django Unchained,word,s**t,17
Django Unchained,word,f**k,8
Django Unchained,word,goddamned,1
Django Unchained,word,ba*t**d,1
Django Unchained,word,motherf**ker,5
Django Unchained,word,f**ked,2
Django Unchained,word,motherf**ker*,2
Django Unchained,word,jacka**,1
