state,local_term,documented_sacred_forests
Andhra Pradesh,Pavithravana,677
Arunachal Pradesh,Gumpa Forests,159
Assam,Sacred Grove,29
Bihar,Sarhuli Mander,43
Chhattisgarh,Matagudi,63
Goa,"Deorai, Pann",93
Gujarat,"Sabarkantha, Dahod,Banaskantha",42
Haryana,Gurudwara grove,57
Himachal Pradesh,Kul Deveta ,329
Jammu & Kashmir,Bani,92
Jharkhand,Jaherthan,29
Karnataka,Devara Vana,1476
Kerala,Sarp Kavu,1096
Madhya Pradesh,Devsthali,170
Maharashtra,Devgudi,2820
Manipur,Gamkhap,166
Meghalaya,Ki Law Lyngdoh,105
Odisha,Thakuramma,188
Puducherry,Kovil Kadu,108
Rajasthan,Vani,560
Sikkim,Pandam,16
Tamil Nadu,Vanakkoil,1275
Telangana,Pavithravana,57
UttaraKhand,"Deo Bhumi, Bugyal (sacred alpine meadows)",133
Uttar Pradesh,"Dev van,Van ",32
West Bengal,"Gramthan, Santalburitan Shitalatan, Haritan Sabitritan, Jahera, Deo Tasara, Mawmund",562
