Year,Wolf,Type
1755,0,min
1761,99.3,max
1766,3,min
1769,148.8,max
1775,12.3,min
1778,238.9,max
1784,10,min
1788,129.2,max
1798,1.1,min
1805,44.1,max
1810,0,min
1816,44.3,max
1823,0,min
1829,67.6,max
1833,5.9,min
1837,134.6,max
1843,9.5,min
1848,111.8,max
1855,3.1,min
1860,88.3,max
1867,9.2,min
1870,153.8,max
1878,1.1,min
1884,87.5,max
1890,5.1,min
1894,83.2,max
1902,5.5,min
1906,31.3,max
1913,1.7,min
1917,154.5,max
1923,0.5,min
1928,80.6,max
1933,5.1,min
1937,109.3,max
1944,0.5,min
1947,163.9,max
1954,1.8,min
1958,190.7,max
1964,6.1,min
1968,86,max
1976,12.2,min
1979,176.3,max
1986,3.8,min
