year,country,value
1861,United Kingdom,14210072
1862,United Kingdom,18566903
1863,United Kingdom,27544284
1864,United Kingdom,44971263
1865,United Kingdom,46873208
1861,Aden,124354
1862,Aden,152310
1863,Aden,156090
1864,Aden,199295
1865,Aden,227583
1861,"Africa, Coast of",80362
1862,"Africa, Coast of",88443
1863,"Africa, Coast of",143817
1864,"Africa, Coast of",147114
1865,"Africa, Coast of",176871
1861,"America, North and South",1211246
1862,"America, North and South",847523
1863,"America, North and South",1039116
1864,"America, North and South",991041
1865,"America, North and South",648239
1861,Arabian and Persian Gulfs,1171378
1862,Arabian and Persian Gulfs,1169524
1863,Arabian and Persian Gulfs,941985
1864,Arabian and Persian Gulfs,1427001
1865,Arabian and Persian Gulfs,1842457
1861,Australia    New South Wales,172507
1862,Australia    New South Wales,196091
1863,Australia    New South Wales,163688
1864,Australia    New South Wales,181427
1865,Australia    New South Wales,139762
1861,"Batavia, Java, and Sumatra",28423
1862,"Batavia, Java, and Sumatra",26842
1863,"Batavia, Java, and Sumatra",38191
1864,"Batavia, Java, and Sumatra",11498
1865,"Batavia, Java, and Sumatra",11864
1861,Belgium,-
1862,Belgium,4122
1863,Belgium,6380
1864,Belgium,10476
1865,Belgium,4460
1861,"Burmah, Pegu, and Siam",-
1862,"Burmah, Pegu, and Siam",-
1863,"Burmah, Pegu, and Siam",-
1864,"Burmah, Pegu, and Siam",-
1865,"Burmah, Pegu, and Siam",-
1861,Cape de Verd Islands,-
1862,Cape de Verd Islands,-
1863,Cape de Verd Islands,-
1864,Cape de Verd Islands,-
1865,Cape de Verd Islands,-
1861,Cape of Good Hope,30840
1862,Cape of Good Hope,43854
1863,Cape of Good Hope,39960
1864,Cape of Good Hope,40956
1865,Cape of Good Hope,21109
1861,Ceylon,1506515
1862,Ceylon,1356445
1863,Ceylon,1907701
1864,Ceylon,2099438
1865,Ceylon,2267817
1861,China,11489966
1862,China,10467229
1863,China,12127527
1864,China,10595325
1865,China,10874652
1861,Denmark,-
1862,Denmark,-
1863,Denmark,9429
1864,Denmark,1423
1865,Denmark,2895
1861,France,1210530
1862,France,1337946
1863,France,1841763
1864,France,2970843
1865,France,2902596
1861,Germany,138221
1862,Germany,134841
1863,Germany,114958
1864,Germany,45018
1865,Germany,20957
1861,Holland,45443
1862,Holland,10717
1863,Holland,17653
1864,Holland,5841
1865,Holland,23671
1861,Maldive Islands,26217
1862,Maldive Islands,17564
1863,Maldive Islands,19507
1864,Maldive Islands,27686
1865,Maldive Islands,23051
1861,Manilla,-
1862,Manilla,-
1863,Manilla,-
1864,Manilla,-
1865,Manilla,-
1861,Mauritius and Bourbon ,1061408
1862,Mauritius and Bourbon ,944957
1863,Mauritius and Bourbon ,832973
1864,Mauritius and Bourbon ,926296
1865,Mauritius and Bourbon ,867753
1861,Mediterranean Ports,3096
1862,Mediterranean Ports,46228
1863,Mediterranean Ports,4133
1864,Mediterranean Ports,640
1865,Mediterranean Ports,6502
1861,Norway,7830
1862,Norway,14498
1863,Norway,-
1864,Norway,-
1865,Norway,-
1861,New Zealand,90
1862,New Zealand,-
1863,New Zealand,-
1864,New Zealand,-
1865,New Zealand,-
1861,"Penang, Singapore, and Malacca",1266618
1862,"Penang, Singapore, and Malacca",1239106
1863,"Penang, Singapore, and Malacca",1650149
1864,"Penang, Singapore, and Malacca",1902128
1865,"Penang, Singapore, and Malacca",1988317
1861,Port Natal  ,5406
1862,Port Natal,1047
1863,Port Natal,-
1864,Port Natal,3730
1865,Port Natal,2869
1861,Portugal,-
1862,Portugal,-
1863,Portugal,-
1864,Portugal,-
1865,Portugal,-
1861,St. Helena,3810
1862,St. Helena,60109
1863,St. Helena,34000
1864,St. Helena,1792
1865,St. Helena,3987
1861,Siam,14534
1862,Siam,46657
1863,Siam,76288
1864,Siam,25601
1865,Siam,21580
1861,Sonmeanee and Meckran,21577
1862,Sonmeanee and Meckran,11887
1863,Sonmeanee and Meckran,21755
1864,Sonmeanee and Meckran,22590
1865,Sonmeanee and Meckran,28657
1861,Spain,-
1862,Spain,-
1863,Spain,3691
1864,Spain,236
1865,Spain,-
1861,Suez,163419
1862,Suez,125263
1863,Suez,131140
1864,Suez,171544
1865,Suez,399897
1861,Sweden,24
1862,Sweden,-
1863,Sweden,-
1864,Sweden,-
1865,Sweden,-
1861,Turkey,42601
1862,Turkey,46654
1863,Turkey,69917
1864,Turkey,32715
1865,Turkey,29499
1861,West Indies,53667
1862,West Indies,43637
1863,West Indies,34602
1864,West Indies,36494
1865,West Indies,57379
